QUEST_LV_0100_20150312_000001	경계병	Sentinel
QUEST_LV_0100_20150312_000002	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.	You better go straight to the Shadow Forest Road if you want to go to Klaipeda. {nl} It is dangerous in the deep woods so try to stay away if you can. 
QUEST_LV_0100_20150312_000003	숨어있는 남자	Hiding Man
QUEST_LV_0100_20150312_000004	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?	Fi... Finally! Have the rescue arrived? {nl} What! It's just a kid? Hey, are Vubbes still outside?
QUEST_LV_0100_20150312_000005	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!	Ughh ... Go away! Do not talk to me! We're going to get caught by the Vubbes! {nl} This is my place so get out of here!
QUEST_LV_0100_20150312_000006	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!	What? Do not lie to me! Vubbe's odor is stinging my nose. What!! {nl} Hey, you don't fool adults! Go away! Do not come around near this barrel!
QUEST_LV_0100_20150312_000007	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}	Fi... Finally! Have the rescue arrived? {nl} What! It's just a kid? What are you looking at? Close the lid and just go on your way! {nl}
QUEST_LV_0100_20150312_000008	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!	But the paper you're holding.. It looks familiar? {nl} Let me see that! What are you doing? There's an adult speaking to you!
QUEST_LV_0100_20150312_000009	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!	This!! It's mine?! I will never give it again!! {nl} It's not something you need, I'm gonna rip it apart!
QUEST_LV_0100_20150312_000010	쳇, 싱겁긴..	Sheesh, that's lame..
QUEST_LV_0100_20150312_000011	여신들께서 전부 사라지시고 난 뒤에 처음으로 나타난 징후 아닙니까.{nl}어쩌면 그 많은 사람중에 누군가가 여신을 돌아오게 할지도 모르잖습니까?	Hard all gone goddess hand, will not sign that appeared in the first behind me. {Nl} perhaps, is not it might be someone coming back the goddess in a lot of people?
QUEST_LV_0100_20150312_000012	병사 블락	Soldier Black
QUEST_LV_0100_20150312_000013	경고합니다! {nl}몬스터가 습격 중이니 민간인은 빨리 도망치세요!  {nl}아니, 근데 왜 군사 지역에 민간인이 들어온 거죠?{nl}	Warned you! {Nl} civilians because the monster is in the raid putt ran away immediately! No {nl}, however, why did you come in the civilian to military area? {Nl}
QUEST_LV_0100_20150312_000014	아, 계시자님! 몰라 봬서 정말 죄송합니다.{nl}지금 보급기지 전체를 몬스터가 습격 중입니다.{nl}일단 중요한 식량만이라도 어떻게 빼 오고 싶은데.. 제발 도와주십시오!	Oh, revelation bidder! There is no Buu~eso really sorry that I do not know. {Nl} monster a whole now supply base is in attack. {Nl} I want to have how pulled out just once of important food. Please help!
QUEST_LV_0100_20150312_000015	얼마 전까진 잠잠했는데 갑자기 대규모로 몰려들고 있습니다.{nl}대체 무슨 일일까요?	Before a while we gathered massive sudden it was quiet. {Nl} and I think what kind of thing?
QUEST_LV_0100_20150312_000016	안 그래도 불안 불안했는데..{nl}저렇게 말도 안 되는 게 덮칠 줄은 누가 알았겠습니까?	Even so it was Mashi anxiety. {Nl} be that ridiculous of strikes, Who would have known.
QUEST_LV_0100_20150312_000017	식량은 위쪽 길을 따라가면 나오는 제1 보급창고에 있습니다.{nl}어떻게 남은 것만이라도 좀.. 아이고 세상에..	Food is located in the first supply warehouse to come out if go along the top road. {Nl} How to some .. oh world alone the rest of the ..
QUEST_LV_0100_20150312_000018	혹시나 도움이 될까 싶어서 스파르나스가 뭐 하는 놈인지 기록해놨습니다.{nl}제가 이래 봬도 4년 전엔 생물학도였거든요.{nl}	It had hard Suparunasu helps Maybe the record whether what guy do. {Nl} I even beg seen, I was also biology four years ago. {Nl}
QUEST_LV_0100_20150312_000019	이 보고서를 류다스님께 전달해 주십시오. {nl}아마 지금쯤이면 중앙 보급 기지에 계실 겁니다.	Please tell dozen like flow this report. {Nl} probably would have had in the center supply base by now.
QUEST_LV_0100_20150312_000020	장교 류다스	Officer class dozen
QUEST_LV_0100_20150312_000021	아아, 자네가 소문의 그 계시자로군. 반갑네.{nl}이건 블락의 보고서인가?{nl}	Oh, revelator group of you are rumors. Which may be. {Nl} This is a report of the block or {nl}
QUEST_LV_0100_20150312_000022	흠.. 그렇군. {nl}보급품만 집요하게 파괴하고 도망간다니 츄파카브라에게 날개가 달렸어도 이보단 덜할 거야.{nl}	Hmm .. I hear. {Nl} even if it is up wings to Chupacabra Nante escape by relentlessly destroyed only supplies, would this decrease more. {Nl}
QUEST_LV_0100_20150312_000023	이걸론 좀 부족하군.{nl}미안하네만, 자네가 암지나 굽잇길에 있는 무디의 보고서도 받아다 주게.	This theory That's not good enough. I sorry {nl} but, you, Moody's report of Itogiru burning cancer too also give Batoada.
QUEST_LV_0100_20150312_000024	류다스님께서 와 주셔서 그나마 마음이 놓입니다.	Also I am relieved even kind dozen like is me coming.
QUEST_LV_0100_20150312_000025	병사 요크	Soldier York
QUEST_LV_0100_20150312_000026	샤울렘들이 도를 넘어서고 있습니다.{nl}저도 패닉상태라 도저히 뭘 어떻게 해야 할지 모르겠습니다.{nl}류다스님께선 절대 그냥 넘어가지 않으실 텐데.. 어쩌죠?	Shaururemu exceeds the degree. {Nl} I also do not know what to do what hardly the panic state. What should we do .. to An'ushiru and of {nl} class dozen Quezon absolute only the beyond?
QUEST_LV_0100_20150312_000027	스파르나스만 잡는다고 해결될 문제일까요?	The problem? To be resolved and capture only Suparu-eggplant?
QUEST_LV_0100_20150312_000028	도와주신 덕분에 어떻게든 추스를 수 있겠네요.{nl}하지만.. 이런 일은 또 생기겠죠? 그럴 땐 어떻게 해야 할지..	I will be able to somehow put together thanks to you who have helped. {Nl} is .. such a thing would be another animation? What to do when such.
QUEST_LV_0100_20150312_000029	스파르나스요? 그건 진짜 답이 없어요.{nl}징조도 없이 갑자기 하늘에서 나타나선 보급품을 다 부숴버리고 나선 금새 사라져버리죠.{nl}울음소리만 들어도 머리가 아파요.	Or intends Suparu-eggplant? It does not have a real answer. {Nl} to do would soon disappear leaving you discard it suddenly broke all appeared line supplies from the sky without any signs. I have a sore head just hear the cries of {nl}.
QUEST_LV_0100_20150312_000030	말씀드린 지점은 제2 보급창고입니다. {nl}앞으로도 계속 이런 일이 되풀이 될걸 생각하니 정말 갑갑하네요.	We tell point is the second supply warehouse. When {nl} continue in the future think Do~u~erugoru repeated such a thing, It is really cramped.
